episode,eval_density,reward,moving_avg
0,medium,-27701700.0,-27701700.0
1,high,-141448500.0,-141448500.0
2,congested,-630691560.0,-630691560.0
3,medium,-22292340.0,-24997020.0
4,high,-146910660.0,-144179580.0
5,congested,-626704080.0,-628697820.0
6,medium,-40292460.0,-30095500.0
7,high,-142399800.0,-143586320.0
8,congested,-630699360.0,-629365000.0
9,medium,-20876640.0,-27790785.0
10,high,-186011520.0,-154192620.0
11,congested,-627690900.0,-628946475.0
12,medium,-46427400.0,-31518108.0
13,high,-186011520.0,-160556400.0
14,congested,-662049840.0,-635567148.0
15,medium,-12444120.0,-28339110.0
16,high,-135703260.0,-156414210.0
17,congested,-662049840.0,-639980930.0
18,medium,-13723380.0,-26251148.57142857
19,high,-186011520.0,-160642397.14285713
20,congested,-629367000.0,-638464654.2857143
21,medium,-46427400.0,-28773180.0
22,high,-186011520.0,-163813537.5
23,congested,-662049840.0,-641412802.5
24,medium,-40292460.0,-30053100.0
25,high,-149147340.0,-162183960.0
26,congested,-651481620.0,-642531560.0
27,medium,-46427400.0,-31690530.0
28,high,-186011520.0,-164566716.0
29,congested,-633554280.0,-641633832.0
30,medium,-46427400.0,-33030245.454545453
31,high,-186011520.0,-166516243.63636363
32,congested,-628541280.0,-640443600.0
33,medium,-27163860.0,-32541380.0
34,high,-186011520.0,-168140850.0
35,congested,-625018080.0,-639158140.0
36,medium,-46427400.0,-33609535.384615384
37,high,-142728180.0,-166186029.23076922
38,congested,-626149680.0,-638157489.2307693
39,medium,-46427400.0,-34525097.14285714
40,high,-164790900.0,-166086377.14285713
41,congested,-662049840.0,-639864085.7142857
42,medium,-21039780.0,-33626076.0
43,high,-186011520.0,-167414720.0
44,congested,-662049840.0,-641343136.0
45,medium,-28907280.0,-33331151.25
46,high,-186011520.0,-168577020.0
47,congested,-625054020.0,-640325066.25
48,medium,-42394740.0,-33864303.52941176
49,high,-147727800.0,-167350595.29411766
50,congested,-662049840.0,-641602994.117647
51,medium,-46427400.0,-34562253.333333336
52,high,-147449880.0,-166245000.0
53,congested,-662049840.0,-642738930.0
54,medium,-44166900.0,-35067761.05263158
55,high,-186011520.0,-167285343.15789473
56,congested,-651481620.0,-643199071.5789474
57,medium,-42394740.0,-35434110.0
58,high,-152704680.0,-166556310.0
59,congested,-625918680.0,-642335052.0
60,medium,-46427400.0,-36370395.0
61,high,-186011520.0,-168784461.0
62,congested,-631854960.0,-642393222.0
63,medium,-38156640.0,-37163610.0
64,high,-186011520.0,-170739504.0
65,congested,-629257740.0,-642520905.0
66,medium,-21558360.0,-36226905.0
67,high,-186011520.0,-172920090.0
68,congested,-631678680.0,-642569871.0
69,medium,-46427400.0,-37504443.0
70,high,-137099520.0,-170474490.0
71,congested,-637381500.0,-643054401.0
72,medium,-38156640.0,-37090905.0
73,high,-166876560.0,-169517742.0
74,congested,-631680540.0,-641535936.0
75,medium,-29695560.0,-37953477.0
76,high,-183444840.0,-171904821.0
77,congested,-662049840.0,-641535936.0
78,medium,-38156640.0,-39175140.0
79,high,-144850680.0,-169846779.0
80,congested,-640530060.0,-642094089.0
81,medium,-27250500.0,-38216295.0
82,high,-144850680.0,-167788737.0
83,congested,-659587380.0,-641970966.0
84,medium,-20518260.0,-37227585.0
85,high,-147232500.0,-167692995.0
86,congested,-659483160.0,-642371043.0
87,medium,-38827620.0,-36847596.0
88,high,-147721140.0,-165778476.0
89,congested,-648565620.0,-643121610.0
90,medium,-20518260.0,-35552139.0
91,high,-146907600.0,-163823280.0
92,congested,-654850620.0,-644437077.0
93,medium,-31661580.0,-35777025.0
94,high,-148103880.0,-161927898.0
95,congested,-662049840.0,-646288665.0
96,medium,-20545200.0,-34482915.0
97,high,-142278720.0,-161905425.0
98,congested,-629583780.0,-646460370.0
