policy,seed,scenario,num_evs,num_stations,steps,completion_rate,abandoned_rate,average_wait_time,max_queue_length,avg_queue_length,total_travel_distance_km,average_travel_distance_km,average_charging_completion_time,avg_station_utilization,vehicles_served,throughput_per_hour,total_reward,reward,total_system_time,total_travel_time,total_wait,total_charge,completed,abandoned,rl_fallback,model_loaded
greedy,100,low,40,25,43,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,100,low,40,25,43,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,100,low,40,25,43,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,100,low,40,25,43,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,100,low,40,25,43,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,101,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,101,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,101,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,101,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,101,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,102,low,40,25,38,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,102,low,40,25,38,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,102,low,40,25,38,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,102,low,40,25,38,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,102,low,40,25,38,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,103,low,40,25,42,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,103,low,40,25,42,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,103,low,40,25,42,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,103,low,40,25,42,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,103,low,40,25,42,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,104,low,40,25,44,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,104,low,40,25,44,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,104,low,40,25,44,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,104,low,40,25,44,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,104,low,40,25,44,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,105,low,40,25,32,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,105,low,40,25,32,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,105,low,40,25,32,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,105,low,40,25,32,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,105,low,40,25,32,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,106,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,106,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,106,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,106,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,106,low,40,25,30,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,107,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,107,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,107,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,107,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,107,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,108,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy_sequential,108,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
nearest,108,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
random,108,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
rl,108,low,40,25,33,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,40,0,False,True
greedy,109,low,40,25,99,1.0,0.0,0.0,0,0.0,3.301283292283444,3.301283292283444,3480.0,0.011717171717171716,1,0.6060606060606061,-3840.0,-3840.0,3840.0,360.0,0.0,3480.0,40,0,False,True
greedy_sequential,109,low,40,25,99,1.0,0.0,0.0,0,0.0,3.301283292283444,3.301283292283444,3480.0,0.011717171717171716,1,0.6060606060606061,-3840.0,-3840.0,3840.0,360.0,0.0,3480.0,40,0,False,True
nearest,109,low,40,25,222,1.0,0.0,0.0,0,0.0,3.2894619765839095,3.2894619765839095,10860.0,0.016306306306306306,1,0.27027027027027023,-11220.0,-11220.0,11220.0,360.0,0.0,10860.0,40,0,False,True
